countryName, birthsunpd_2012wpp, siunpd_2012wpp
The former Yugoslav Republic of Macedonia, 32758, 31917
Israel, 93201, 91770
Iceland, 4234, 4202
Zambia, 271316, 243778
Senegal, 270886, 246210
Papua New Guinea, 127338, 117143
Zimbabwe, 344007, 320504
Germany, 827425, 816571
Denmark, 56725, 56256
Former Checkoslovakia, 258435, 253834
Kazakhstan, 339087, 321848
Poland, 695281, 680460
Eritrea, 144248, 131549
Kyrgyzstan, 132506, 124455
Paraguay, 118853, 112916
Latvia, 30843, 30319
South Sudan, 384671, 353370
Guyana, 22667, 21378
Honduras, 158401, 146964
Myanmar, 1244821, 1126154
Equatorial Guinea, 8786, 7525
Egypt, 1696830, 1493112
Nicaragua, 144161, 131835
Singapore, 40400, 39974
Democratic People's Republic of Korea, 349390, 337776
Botswana, 44007, 41038
Timor-Leste, 36797, 34392
Congo, 75641, 69507
Greece, 142932, 140404
Sri Lanka, 405212, 392157
Namibia, 54730, 51339
Comoros, 14427, 12828
